Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
HTTP Request 1;400;1;1;2;3;4;0;10;0,000%;4,66228;1,29;2,50
HTTP Request 2;400;977;994;1967;2139;2958;2;3981;100,000%;4,66228;1,67;2,50
HTTP Request 3;200;1;1;2;2;3;0;5;0,000%;3,97188;1,10;2,13
HTTP Request 4;200;778;555;1880;2000;2807;2;3529;100,000%;3,95875;1,42;2,12
HTTP Request 5;200;750;528;1821;2023;2807;2;3921;100,000%;3,95460;1,42;2,12
HTTP Request 6;200;738;646;1731;1964;2685;1;3472;100,000%;3,95327;1,42;2,12
HTTP Request 7;200;736;639;1668;1954;2381;2;3374;100,000%;3,93484;1,41;2,11
HTTP Request 8;200;1;1;2;3;7;0;14;0,000%;3,93499;1,09;2,11
HTTP Request 9;200;1;1;2;2;5;0;9;0,000%;3,93499;1,09;2,11
HTTP Request 10;200;1;1;2;2;5;0;11;0,000%;3,93468;1,09;2,11
HTTP Request 11;200;1;1;2;2;3;0;6;0,000%;3,93468;1,09;2,11
HTTP Request 12;200;1251;1180;2135;2343;2577;282;2807;0,000%;3,88131;1,08;2,08
HTTP Request 13;200;788;757;1578;1781;2247;2;3059;100,000%;3,87905;1,40;2,08
HTTP Request 14;200;733;736;1472;1802;2626;1;3241;100,000%;3,87462;1,40;2,08
HTTP Request 15;200;708;736;1259;1711;2914;2;4162;100,000%;3,88259;1,40;2,08
HTTP Request 16;200;1098;1110;1794;2126;2580;263;3374;0,000%;3,85936;1,07;2,07
HTTP Request 17;200;1;1;2;2;4;0;17;0,000%;3,89143;1,08;2,09
HTTP Request 18;200;615;624;1136;1471;1971;2;3265;100,000%;3,87935;1,40;2,08
HTTP Request 19;200;495;346;1088;1348;2018;2;2909;100,000%;3,86690;1,40;2,07
HTTP Request 20;200;1;1;2;3;9;0;13;0,000%;3,90282;1,08;2,09
HTTP Request 21;200;1;1;2;2;4;0;11;0,000%;3,90267;1,08;2,09
HTTP Request 22;200;452;312;1107;1293;1645;2;1800;100,000%;3,87507;1,40;2,08
HTTP Request 23;200;1;1;3;5;10;0;14;0,000%;3,91267;1,08;2,10
HTTP Request 24;200;387;307;939;1082;1524;2;1910;100,000%;3,87409;1,40;2,08
HTTP Request 25;200;1;1;2;5;10;0;12;0,000%;3,87424;1,07;2,08
HTTP Request 26;200;378;272;1009;1303;1764;2;2735;100,000%;3,82819;1,38;2,05
HTTP Request 27;200;318;174;874;1083;1858;2;2584;100,000%;3,74714;1,35;2,01
HTTP Request 28;200;231;105;560;891;1262;2;2329;100,000%;3,74707;1,35;2,01
HTTP Request 29;200;1;1;3;6;11;0;16;0,000%;3,79219;1,05;2,03
HTTP Request 30;200;1;1;3;7;12;0;20;0,000%;3,79219;1,05;2,03
HTTP Request 31;200;1;1;3;4;8;0;9;0,000%;3,79212;1,05;2,03
HTTP Request 32;200;233;109;594;844;1548;2;2300;100,000%;3,64644;1,32;1,95
HTTP Request 33;200;3;1;4;6;22;0;303;0,000%;3,71230;1,03;1,99
HTTP Request 34;200;4;1;3;6;12;0;274;0,000%;3,71230;1,03;1,99
HTTP Request 35;200;4;1;4;8;14;0;336;0,000%;3,71237;1,03;1,99
HTTP Request 36;200;200;94;460;853;1346;1;2015;100,000%;3,62194;1,31;1,94
HTTP Request 37;200;170;91;422;562;1090;2;1613;100,000%;3,57507;1,29;1,92
HTTP Request 38;200;4;1;3;5;153;0;265;0,000%;3,57551;0,99;1,92
HTTP Request 39;200;159;71;358;729;1008;1;1688;100,000%;3,47084;1,25;1,86
HTTP Request 40;200;3;1;4;8;46;0;259;0,000%;3,52466;0,97;1,89
HTTP Request 41;200;2;1;3;4;15;0;175;0,000%;3,52466;0,97;1,89
HTTP Request 42;200;176;80;376;673;1181;3;2793;100,000%;3,35931;1,21;1,80
HTTP Request 43;200;179;87;410;702;1428;2;1605;100,000%;3,27134;1,18;1,75
HTTP Request 44;200;4;1;4;8;31;0;290;0,000%;3,29196;0,91;1,76
HTTP Request 45;200;1;1;3;5;10;0;11;0,000%;3,29191;0,91;1,76
HTTP Request 46;200;146;70;342;535;1193;1;1449;100,000%;3,22367;1,16;1,73
HTTP Request 47;200;4;1;4;6;40;0;308;0,000%;3,24149;0,90;1,74
HTTP Request 48;200;2;1;4;7;26;0;33;0,000%;3,24149;0,90;1,74
HTTP Request 49;200;183;70;490;927;1525;1;1671;100,000%;3,16852;1,14;1,70
HTTP Request 50;200;7;1;5;12;194;0;263;0,000%;3,18188;0,88;1,71
HTTP Request 51;200;4;1;4;12;29;0;281;0,000%;3,18188;0,88;1,71
HTTP Request 52;200;3;1;4;7;25;0;298;0,000%;3,18188;0,88;1,71
HTTP Request 53;200;177;80;387;606;1317;1;3022;100,000%;3,12818;1,13;1,68
HTTP Request 54;200;17;1;11;148;316;0;338;0,000%;3,14505;0,87;1,69
HTTP Request 55;200;2;1;3;8;28;0;105;0,000%;3,14505;0,87;1,69
HTTP Request 56;200;210;105;398;806;1606;1;2887;100,000%;3,07749;1,11;1,65
HTTP Request 57;200;188;104;415;782;1461;1;1739;100,000%;3,01314;1,09;1,62
HTTP Request 58;200;223;93;595;985;1604;1;1731;100,000%;2,97561;1,07;1,60
HTTP Request 59;200;4;1;4;10;51;0;247;0,000%;2,98000;0,82;1,60
HTTP Request 60;200;2;1;4;9;14;0;35;0,000%;2,98040;0,82;1,60
HTTP Request 61;200;4;1;6;8;53;0;244;0,000%;2,98049;0,82;1,60
HTTP Request 62;200;3;1;3;6;44;0;177;0,000%;2,98076;0,82;1,60
HTTP Request 63;200;8;1;3;10;214;0;256;0,000%;2,98085;0,82;1,60
HTTP Request 64;200;244;98;585;1055;1700;1;2438;100,000%;2,93656;1,06;1,57
HTTP Request 65;200;5;1;3;6;212;0;287;0,000%;2,94144;0,81;1,58
HTTP Request 66;200;1;1;3;5;12;0;14;0,000%;2,94144;0,81;1,58
HTTP Request 67;200;309;137;732;1278;3039;1;4425;100,000%;2,90074;1,05;1,56
HTTP Request 68;200;4;1;4;7;37;0;261;0,000%;2,90208;0,80;1,56
HTTP Request 69;200;315;156;842;1484;2484;1;3062;100,000%;2,85286;1,03;1,53
HTTP Request 70;200;281;135;842;1116;1560;2;1699;100,000%;2,83302;1,02;1,52
HTTP Request 71;200;3;1;3;6;18;0;336;0,000%;2,83330;0,78;1,52
HTTP Request 72;200;5;1;3;10;182;0;297;0,000%;2,83338;0,78;1,52
HTTP Request 73;200;360;204;963;1421;1688;1;1979;100,000%;2,80595;1,01;1,50
HTTP Request 74;200;2;1;2;3;20;0;109;0,000%;2,80639;0,78;1,50
HTTP Request 75;200;373;187;1062;1399;1805;1;1951;100,000%;2,79256;1,01;1,50
HTTP Request 76;200;3;1;2;3;18;0;249;0,000%;2,79263;0,77;1,50
HTTP Request 77;200;2;1;2;4;12;0;220;0,000%;2,79267;0,77;1,50
HTTP Request 78;200;437;232;1344;1613;2295;1;3294;100,000%;2,76713;1,00;1,48
HTTP Request 79;200;1;1;2;3;8;0;107;0,000%;2,76721;0,76;1,48
HTTP Request 80;200;2;1;2;3;11;0;222;0,000%;2,76725;0,76;1,97
HTTP Request 81;200;452;269;1337;1613;1934;1;1985;100,000%;2,75528;1,00;1,48
HTTP Request 82;200;496;292;1276;1614;2015;1;3479;100,000%;2,73901;0,99;1,47
HTTP Request 83;200;553;304;1480;1766;2858;1;4469;100,000%;2,73034;0,99;1,46
HTTP Request 84;200;1;1;2;2;5;0;27;0,000%;2,73045;0,75;1,46
HTTP Request 85;200;1;1;2;3;6;0;8;0,000%;2,73052;0,75;1,46
HTTP Request 86;200;2;1;2;2;11;0;206;0,000%;2,73056;0,75;1,46
HTTP Request 87;200;1050;820;2070;2179;2998;175;3432;0,000%;2,69447;0,75;1,44
HTTP Request 88;200;2;1;2;2;4;0;245;0,000%;2,70080;0,75;1,45
HTTP Request 89;200;1;1;2;2;3;0;15;0,000%;2,70973;0,75;1,45
HTTP Request 90;200;747;600;1642;1866;2571;2;3624;100,000%;2,70332;0,98;1,45
HTTP Request 91;200;741;643;1615;1766;2031;2;3021;100,000%;2,69851;0,97;1,45
HTTP Request 92;200;811;709;1701;1946;2498;2;2823;100,000%;2,70395;0,98;1,45
HTTP Request 93;200;868;789;1782;1955;2929;2;3043;100,000%;2,70446;0,98;1,45
HTTP Request 94;200;992;939;1882;2112;3173;2;4205;100,000%;2,70033;0,98;1,45
HTTP Request 95;200;930;956;1779;1956;2375;2;3061;100,000%;2,69734;0,97;1,45
HTTP Request 96;200;1;1;2;2;5;0;7;0,000%;2,70000;0,75;1,45
HTTP Request 97;200;1;1;2;2;3;0;4;0,000%;2,70008;0,75;1,45
HTTP Request 98;200;1;1;1;2;2;0;3;0,000%;2,70008;0,75;1,45
HTTP Request 99;200;1121;1063;1851;2041;3138;2;4129;100,000%;2,69978;0,98;1,45
HTTP Request 100;200;1056;1032;1864;2063;3600;2;3665;100,000%;2,70205;0,90;1,45
HTTP Request 101;200;3286;3360;4722;4902;5726;719;6194;0,000%;2,66273;9,59;1,43
HTTP Request 102;200;3539;3463;4886;6031;6830;344;7773;0,000%;2,68647;9,69;1,44
HTTP Request 103;200;3392;3525;4802;5168;6588;160;6736;0,000%;2,73613;9,85;1,47
TOTAL;21000;354;3;1208;1769;3974;0;7773;43,810%;244,76380;99,92;131,62
